run,replica,minute,waiting_mean,running_mean,kv_cache_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,0,0.0,2.05,0.047830792396009784
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,1,0.0,1.9152542372881356,0.03658279818928309
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,2,0.0,1.7833333333333334,0.040617353660831926
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,3,0.0,0.7833333333333333,0.022901373988330514
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,4,0.0,2.05,0.03433088650479955
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,5,0.5,3.8,0.11792301900997554
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,6,0.1,1.2,0.03342273668360624
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,7,0.01694915254237288,2.23728813559322,0.03562097445664137
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,8,0.016666666666666666,1.7,0.03819405232448711
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,9,0.48333333333333334,3.933333333333333,0.0933700357613401
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,10,0.11666666666666667,2.033333333333333,0.03195934500282326
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,11,0.016666666666666666,1.5166666666666666,0.02910784867306606
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,12,0.0,1.6833333333333333,0.03554959533220403
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,13,0.0,1.6833333333333333,0.034020327498588375
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,r00,14,0.0,1.8305084745762712,0.04859363186555522
